Position,Company,Loc_city,Loc_state,Loc_zip,CompanyReviews,Link
Data Science Development Program- Junior Data Scientist,"
MassMutual",Amherst,MA,1002,628 reviews,https://www.indeed.com/jobs?q=Python+Data&start=20['/rc/clk?jk=c42d96c8bc9cd283&fccid=acf786d7ca32d66d']
Entry-Level Cognitive / AI / Machine Learning Software Developer,"
IBM",Austin,TX,73344,"18,926 reviews",https://www.indeed.com/jobs?q=Python+Data&start=20['/rc/clk?jk=cecaf31fd5d55afb&fccid=de71a49b535e21cb']
PHP/MySQL Programmer,NA,Austin,TX,,,https://www.indeed.com/jobs?q=Python+Data&start=20['/rc/clk?jk=87c185687df52d42&fccid=6b68549d06027fb9']
Python Programmer Job,"
SAIC",Monterey,CA,,"1,757 reviews",https://www.indeed.com/jobs?q=Python+Data&start=20['/rc/clk?jk=36501d932f4726f2&fccid=f3b836e645f9b36d']
BI Analyst,NA,San Francisco,CA,,,https://www.indeed.com/jobs?q=Python+Data&start=60['/rc/clk?jk=6a0f20b8bd4f6cdf&fccid=da7cb7068b5cdc2d']
L2- Jr. SQL Developer,"
Gartner, Inc.",New York,NY,,174 reviews,https://www.indeed.com/jobs?q=Python+Data&start=70['/rc/clk?jk=2a89e198b0e09af1&fccid=be293f1def77a963']
BI Analyst,NA,San Francisco,CA,,,https://www.indeed.com/jobs?q=Python+Data&start=60['/rc/clk?jk=26e0f119b1eba265&fccid=1db73ef8e1dcdbe7']
Data Engineer,"
Apple",Santa Clara Valley,CA,,"4,517 reviews",https://www.indeed.com/jobs?q=Python+Data&start=60['/rc/clk?jk=40d3cd6b4831ccac&fccid=c1099851e9794854']
Supply Chain Data Scientist/Analyst,"
Apple",Santa Clara Valley,CA,,"4,517 reviews",https://www.indeed.com/jobs?q=Python+Data&start=60['/rc/clk?jk=b0858c735c3f9360&fccid=c1099851e9794854']
Data Insights Analyst (Advanced SQL Needed),"
C.H. Robinson",Eden Prairie,MN,55347,596 reviews,https://www.indeed.com/jobs?q=Python+Data&start=60['/rc/clk?jk=e7c3cd42663ce5a8&fccid=090a7d416d718609']
Junior Data Scientist,"
The World Bank",Washington,DC,,465 reviews,https://www.indeed.com/jobs?q=Python+Data&start=60['/rc/clk?jk=5c5125fc1b3183f3&fccid=68e84a75b614b963']
Junior Data Scientist,"
CGI",Washington,DC,,"1,485 reviews",https://www.indeed.com/jobs?q=Python+Data&start=60['/rc/clk?jk=c9d362397060c8e4&fccid=d2841a5c0380b93d']
