,Company,Description,Position,Source,skills,Loc_city,Loc_state
43,Genesis10,"Genesis10 is seeking a Sr. Business Data Analyst for a 6-month contract position with a client in Eagan, MN. Genesis10 provides access to career opportunities with over 40 clients in the Twin Cities. As the #3 ranked firm for Business and IT consulting in Minnesota, we offer a variety of opportunities whether you are looking for contract, contract-to-hire, or permanent positions. Let's connect today! Responsibilities:   * Data gathering and analysis as part of assigned tasks and projects * Creating data visualization as part of assigned tasks and projects * Assist Editorial Service teams with market analysis and related requests * Assist in Market Analysis, Jurisdictional build and retention model projects * Assist in development and implementation of Strategy Insights Framework in the areas of data analysis, KPI development and reporting * Interact with partner teams to manage tasks and projects * Other projects and tasks as assigned Qualifications:   * Bachelor's degree * BS in statistics, math or data science related field of study preferred * Experience in a Business Analyst or related role involving data analysis * Strong Excel skills including charting, Pivot tables, statistical and data cleanup functions * Basic PowerPoint, Word, Outlook skills * Fundamental statistical, data analysis and visualization skills * Strong communication skills * Ability to build effective working relationships with members of team and partner organizations * Good written and oral communications skills able to converse with many levels of the organization * Able to work with product, editorial, data and marketing teams (including segment partners) in a collaborative manner to achieve positive results * Strong team player who understands consensus and works toward the success of the team and organization * Ability to present ideas in a clear and concise manner * Able to work with little direct supervision * Able to work effectively in a team environment where team members may not be co-located * Self-motivated and pro-active * Good analytical and process improvement skills * Understands expectations that were set with team and recognizes when issues / events may affect delivery Preferred Qualifications:   * Ability to create SQL or MS Access queries and reports * Experience using Tableau or similar data visualization tools * Statistical modelling background a plus If you have the described qualifications and are interested in this exciting opportunity, apply today! Benefits of Working with Genesis10:   As a Genesis10 consultant, we are proud to offer access to the following benefits: * Medical and dental insurance * Bi-weekly payroll * 401k plan * Downtown Minneapolis/St. Paul parking allowance * Delivery Manager for employee support * Successful re-marketing program * Referral program with the opportunity to earn additional income About Genesis10:   Genesis10 is a Professional Technology Services Firm providing Staffing, Workforce Optimization and Domestic Outsourcing Solutions. If you are a high performing business or IT professional with solid, referenced experience, we want to meet you. Genesis10 recruiters and delivery professionals are highly accomplished career advocates, who get to know you beyond your resume to position you with the opportunities that fit your skills, experience and aspirations. We have benefit options to fit your needs and a support staff that works with you from placement throughout your engagement - project after project. To learn more about Genesis10 and to view all our available career opportunities, please visit us at www.genesis10.com ""Genesis10 is an Equal Opportunity Employer, M/F/D/V""",Sr. Business Data Analyst,dice.com,"Analysis, Analyst, Business Analyst, Consulting, Data Analysis, Development, Excel, Manager, Outlook, PowerPoint, Project, SQL, Supervision",Eagan, MN
50,Eastridge Workforce Solutions,"*         3+ years of Information Technology (IT) Management experience.*         5+ years of Data Warehouse Development experience including experience with the Microsoft BI Platform.   *         Expert knowledge and Experience with Data Modeling including Relational Data, OLAP (Cube) design, Reporting and Dashboard Design.*         Expert knowledge with SQL Server 2012 or later and SQL syntax.  Experience using Microsoft Business Intelligence technologies:  SSAS, SSIS, SSRS or similar technologies.*         Expert knowledge with OLAP (SSAS, Cubes) and MDX query syntax.   Knowledge of DAX a plus.*         Directs, manages, and coordinates the services and activities of the Business Intelligence (BI) Development team assigned to the BIDM.*         Ensure that the morale, productivity, training, quality of work and discipline of the staff assigned to the BIDM is at an effective level.*         Manage resources and projects to ensure that the goals and needs of the business are met.*         Supervise and approve all design work and ensure that it is well documented.*         Supervise and perform quality control functions as it relates to development work to ensure that the work product meets and exceeds established business standards and practices.*         Experience with Software Development Life Cycle (SDLC)*         Experience with Source Code management and control and Change Management.*         Keen interest in understanding business issues through detailed information analysis and the ability to analyze data in terms of it*s business meaning.*         Ability to review and troubleshoot ETL Code, produce sound Database and Cube Design, and analyze Data for content and quality",Business Intelligence Development Manager,dice.com,(See Job Description),Las Vegas, NV
61,"VanderHouwen & Associates, Inc.","PLEASE JOIN OUR TALENT NETWORK: http://bit.ly/vhatalentnetwork  Joining the Talent Network with VanderHouwen & Associates (VHA) will enhance your job search and application experience. Job listings are mobile-friendly and easy to review, share, or apply. Whether you choose to just leave us your information or apply, we look forward to connecting with you.  SummaryOur client is looking for an expert Sr. JavaScript Developer with experience on AWS (Amazon Web Services). Qualifications Required 5+ years' full-time professional software developer experience. 3+ years* experience on node.js (JavaScript), Expert-level knowledge.2+ years* experience on AWS (EC2, Lambda, ECS, S3 AWS API GW).Qualifications Highly Preferred BS in computer science or related discipline.Experience with Docker and/or AWS ECS service.Experience with REST API and design (SWAGGER).Experience with GIT configuration management tool.Successfully delivered at least one node.js based application into production environment.Experience Working in a collaborative Agile Software Development (SCRUM).Track record of delivering solutions under tight schedules. Strong oral and written skills in English. Qualifications Preferred Working knowledge of Java. Worked on both Windows and Linux development. Experience on IOT solutions. Knowledge of retail applications. Experience with RFID. Experience deploying Node.js applications on client and/or IOT platforms.",Sr. JavaScript Developer,dice.com,"Node.js, JavaScript",Chandler, AZ
94,Fahrenheit IT Staffing & Consulting,"Fahrenheit IT is seeking a Database Administrator (DBA) to execute on database strategies and take responsibility for database integrity, architecture, modeling, security, and performance tuning for our MySQL databases. This person will play a key role in managing and improving the health and stability of our MySQL instances. This person will will display proficiencies in MySQL administration as well as basic Linux administration in a 24x7 production environment.Responsibilities Basic Database administration - install, configure, upgrade, and migrate existing databases Serve as an escalation point for any defined database issues regarding performance, security, and ongoing maintenance Automate various DBA tasks Optimization of database performance Devise and implement key constraints to ensure database integrity Work with developers and system engineers to troubleshoot and optimize queries and performance bottlenecks for current and future products and services Assist in formalizing and updating database policies, procedures, and technical standards, including disaster recovery planningMinimum Requirements: MySQL DBA experience in a 24x7 production environment. 3-6 years of database management/administration and performance tuning experience Strong proficiency with Linux with experience performing basic administrative tasks Experience implementing multi-master replication (Galera experience is a plus) Experience with version control; specifically Git and GitHub. Mastery of one or more of: Python, Ruby, Bash, or other scripting language Understanding of virtualization environments Bachelor's degree in Computer Science or related field preferred Familiarity with Percona toolkit",Senior MySQL DBA,dice.com,Telecommuting not available Travel not required,Westmont, NJ
107,"SIS-Systems Integration Solutions, Inc.","SQL Web Application Developer The Database Developer is primarily focused on the design and evolution of our data schema, streamlining data operations, tuning the database for peak performance, and developing and maintaining database scripts. The position will develop robust database scripts that support needed database model/data changes, as well as ensure scripts will execute successfully in different software life cycle environments. The position will also identify performance improvements for various database changes proposed by the software development staff, and will work closely with operational staff to make sure that database changes are applied correctly and help with verifying and resolving database issues.ESSENTIAL Job Duties & ResponsibilitiesDesign and develop SQL database scripts. Develop processes to manage database DDL & DML changes.Design and deploy data table structures, forms, reports, and queries.Produce ad-hoc queries and develop reports to support business needs.Mentor development staff on database changes.Review database change requests by development and operational staff.Provide support in resolving database issues in various software life cycle environments.Work closely with software development engineers, QA testers and cross-functional teams to build robust database changes.Identify and determine solutions to obstacles during the major release or patch deployments.Own and drive database development best practices, procedures and standards and apply to the development process.Participate in the research and evaluation of new/additional software tools to assist database development.Communicate issues and concerns to appropriate parties based on analysis and defects.Provide ad hoc assistance as needed.Local candidates only please!!Skills & ExperienceBachelor’s degree in Engineering, Computer Science, MIS a related IT field, or equivalent work experience. Industry certifications related to this position a plus.Minimum of five years of relational database development experience. Proficient in database development for Oracle or MySQL or equivalent database.Must have advanced knowledge of SQL scripting and execution.Minimum of 2 years of experience with data migration that support database DDL changes.Strong problem solving and analytical skills (defect analysis and reporting).2 years of Database tuning experience.Must be conversant with modern relational database development tools and practices.Experience with agile development processes in startup companies is strongly preferred.Ability to support and work in a diverse team environment.Strong written and communication skills; ability to articulate complex ideas clearly and effectively.Ability to manage multiple tasks, priorities, and responsibilities in a dynamic environment.Experience working with senior management, vendor partners, and external expert consultants.Ability to work under pressure, on multiple assignments, with strong attention to detail.Ability to conduct meetings, evaluate issues, provide solutions, and drive aggressive timelines.PC and desktop applications competency (e.g., Microsoft Office, email, etc.).Good time management skills and the ability to work to tight deadlines.",SQL Web Application Developer,dice.com,"Skills & Experience Bachelors degree in Engineering, Computer Science, MIS a related IT field, or equivalent work experience. Industry certifications related to this position a plus. Minim",Emeryville, CA
121,SMCI,"Job Description: Our banking client is looking for a Digital Analytics consultant who has experience with any of the following digital tools - Adobe, Google, Tableau, Foresee or similar tools. Consultant must be able to evaluate trends, work with dashboards and monitor the websites.Required Skills: SQL; EXCEL; Google Analytics, Adobe, Tableau. Don't hesitate! Submit your resume today. SMCI is an EEO employer. All qualified applicants will receive consideration without regard to race, color, religion, sex, pregnancy, national origin, disability, age, genetic information, veteran status, sexual orientation and identity, AIDS/HIV, medical condition, political activities or affiliations, or status as a victim of domestic violence, assault, or stalking. (No third parties, please)(H1 sponsorship currently unavailable)(Local candidates only, please)","Business Analyst - digital analytics, Google, Adobe, Tableau, ForeSee, SQL",dice.com,"digital analytics, Google, Adobe, Tableau, ForeSee, SQL",Burbank, CA
128,SMCI,"Job Description: Reports to: Director of IT EngineeringDepartment: IT Engineering Position Objective:If you love using technology to solve problems, are a team player, have a willingness to learn, and enjoy good food then read on! We are looking for a Mobile Application Engineer to help us grow our mobile platforms. We have always taken great pride in our innovative consumer technology, and are looking for a full-stack Mobile Application Engineer to keep expanding our mobile customer experience and building innovative features! You will be working with a team of engineers and will have the opportunity to cross-train and expand your skills. Our diverse platforms and technologies provide a great breadth of experience. Join our team and help us drive innovative ordering! Essential Functions: Build out new mobile features and experiences (iOS, Android, web) Work with the full stack including a REST API and SQL database Track down and fix bugs Manage app store deployments Work in an agile development environment Requirements/Preferences: Experience developing end-to-end with iOS in Xcode/Objective-C 2-3 years professional experience developing mobile applications 4-year Computer Science degree or equivalent experience Strong written and verbal communication skills Experience with AJAX and JQuery a plus Physical Demands: Long periods of sitting (at least 2-4 hours per day) Use of a computer and telephone equipment Constant communication in person and via telephoneRequired Skills: AJAX; JQuery; Xcode/Objective-C; IOS; Android:; AGILE; Don't hesitate! Submit your resume today. SMCI is an EEO employer. All qualified applicants will receive consideration without regard to race, color, religion, sex, pregnancy, national origin, disability, age, genetic information, veteran status, sexual orientation and identity, AIDS/HIV, medical condition, political activities or affiliations, or status as a victim of domestic violence, assault, or stalking. (No third parties, please)","Developer - iOS, Android, REST API, SQL, Xcode, AJAX",dice.com,"iOS, Android, REST API, SQL, Xcode, AJAX",Pleasanton, CA
143,BayOne Solutions,"Title: Lead Data Scientist (Applied Researcher)Summary:You will be working as a Data Scientist for one of our clients in San Francisco. You should have a strong background in science and engineering skills, proven track record of solving critical business problems through data science and strong analytical/quantitative and engineering skills. Position Type: Fulltime/ C2HLocation: San Francisco, CARequired Skills: Machine Learning, Data Analytics, Big Data (Spark/Hadoop) What you will be doing?You will be working with our clients team on heterogeneous data sets (behavioral, transaction and crawled data) and focuses on solving applied problems using Natural Language Processing, Text Mining, Data Mining & Machine Learning.Review and guide the daily findings of a team of data scientists.Communicate to the internal data scientists and broader audience about the differences between different analytic techniques for predictions, clustering, and visualizations to make complex data simpler to understand.Dive into the underlying data, apply relevant data mining techniques and/or machine learning algorithms that will help customers get more value from the application.Assist with identification, collection and cleaning of relevant data sources.Understand existing application features and how they tie to our customer’s business needs.Design and support effective storage and retrieval of data in consideration of analytic options.Create and implement algorithms in relevant statistical inference, graph and network analysis, natural language processing with open source tools and libraries.Build prototypes to help visualize different types of data in the most clear way possible.Participate in agile development process, daily scrums, sprint planning, and demos of your work to Engineering peers and leadership.Consult with Product team and other cross-functional teams to assist them with investigation of various data-driven solutions.Keep abreast of cutting-edge solutions for big data analytics and machine learning at scale.What you will need for this role?Degree in Computer Science, Mathematics, Engineering, or equivalent6+ years of professional Data Science experienceProven experience leading talented data scientistsExperience with the following:Mathematical modeling, Statistics, and Machine Learning techniquesMathematical modeling, Statistics, and Machine Learning techniquesStatistical programming languages (e.g. R, Python, Java)Database experience (e.g. MySQL, PostgreSQL)Big data solutions (e.g. Hadoop, Spark)Ability to learn quickly in a fast-paced, dynamic team environmentHighly effective communication and collaboration skills Connect with Us:If you think this post is all about you, ping me at dbind@bayonesolutions.com. I will be happy to answer your questions at 925-307-7147 About Us:We are a business and technology services firm specializing in IT Consulting, Application Development, Systems Integration, Cloud Computing, Data Warehousing and Business Intelligence, and others. Our portfolio of clients includes Fortune 500 and startups. We believing in matching our Consultants talent and core values with that of our clients resulting in ‘Happy’ customers.Thanks, Dhanraj BindRecruiting ManagerBayOne Solutions Pleasanton, CA 94588dbind@bayonesolutionsPh: 925-307-7147",Lead/Sr Data Scientist,dice.com,"Machine Learning, Big Data, Java",San Francisco, CA
153,SMCI,"Job Description: Programmer Analyst Lead needed who can optimize SQL and resolve SQL deadlock issues, as well as code .Net web services. Some Java experience preferred.Required Skills: SQL. .NET; Web services. Don't hesitate! Submit your resume today. SMCI is an EEO employer. All qualified applicants will receive consideration without regard to race, color, religion, sex, pregnancy, national origin, disability, age, genetic information, veteran status, sexual orientation and identity, AIDS/HIV, medical condition, political activities or affiliations, or status as a victim of domestic violence, assault, or stalking. (No third parties, please)(H1 sponsorship currently unavailable)(Local candidates only, please)","Developer - SQL, web services, .NET",dice.com,"SQL, web services, .NET",Los Angeles, CA
156,SMCI,"Job Description: We are looking for a User Interface/User Experience contractor who assist with the replacement of an existing webpage currently written in ASP.NET web forms.Required Skills: HTML, CSS, JQuery, ASP.NET. Don't hesitate! Submit your resume today. SMCI is an EEO employer. All qualified applicants will receive consideration without regard to race, color, religion, sex, pregnancy, national origin, disability, age, genetic information, veteran status, sexual orientation and identity, AIDS/HIV, medical condition, political activities or affiliations, or status as a victim of domestic violence, assault, or stalking. (No third parties, please)(H1 sponsorship currently unavailable)(Local candidates only, please)","Developer - WEB - HTML5, CSS3, JavaScript, AJAX, JQuery, ASP.NET",dice.com,"HTML5, CSS3, JavaScript, AJAX, JQuery, ASP.NET",Los Angeles, CA
