Position,Company,Description,Loc_state,Loc_city,Skills,Type,Source
SQL DBA,AKVARR,"Job Title: SQL DBADuration : 6+ MonthsLocation : Montgomery, ALÂ Job Description :Note: prior Govt/Fedral experience a must7+ Â to 9 yearsâ€™ experience as a SQL DBAPrior experience (majority of career) working in government/public assistance companies/employersExperience in troubleshooting and resolving SQL database problemsExperience in Performance Tuning and Optimization (PTO), using native monitoring and troubleshooting toolsExperience with backups, restores and recovery modelsKnowledge of High Availability (HA) and Disaster Recovery (DR) options for MSSQL ServerExperience in implementing operational automation using scriptsKnowledge of indexes, index management, and statisticsExperience working with Windows server, including Active Directory and proper disk configurationsGood communication and documentation skillsNICE TO HAVE:Involvement with the MSSQL Server Community; membership in PASS, active in forums or newsgroupsCertification(s): MCTS, MCITP, MVPPrevious experience in either a teaching or volunteer roleÂ Thanks & Regards,Pavithra Akvarr Inc 101 Lakeforest Blvd.,Ste. 400 Gaithersburg,Â MDÂ 20877Phone: 240-500-1684 Ex:102 E:pavithra@akvarr.com URL: www.akvarr.com",AL,Montgomery,"SQL DBA,government/public assistance companies/employers, HA,DR,MSSQL Server,MCTS, MCITP, MVP","Contract Corp-To-Corp, Contract W2, C2H W2",dice.com
Senior Data Analyst (Consumer Financial Market),CyberCoders,"Minimum Required Skills:SAS (SAS Bas/Macro/SQL/STAT/Graph), SAS Enterprise Guide, SAS Enterprise Miner, Unix SAS, SQL, Access/Excel/PowerPoint, Statistical Business Models and ScorecardsWe are seeking a Senior Data Analyst. In this position, one monitors credit cycle performance relative to product and state: partners with senior management to develop strategies for underwriting and portfolio performance, provide guidance to marketing, underwriting and credit scoring analytics.What You Will Be Doingâ€¢Monitor/evaluate credit cycle performance relative to baseline targetsâ€¢Evaluate on-going credit quality and identify systemic risk using monthly/static pool/vintage/ad hoc/retro analyses/reportsâ€¢Prepare analyses/presentations of the origination portion of daily/monthly asset quality performance relative to budget and early default/bankruptcy analysesâ€¢As member of the Credit and Collection Team, assist with development/communication/ implementation of credit/collection/remarketing/recovery policesâ€¢Support development/implementation/maintenance of scoring/origination /credit bureau scoring modelsâ€¢Respond to questions relative to credit/portfolio performanceâ€¢Manage all origination scoring/credit bureau vendor relationshipsâ€¢Evaluate performance relative to the accuracy of existing underwriting models/processesâ€¢Act as focal point for all product and enhancements that may require modification to credit/ portfolio management policiesâ€¢Participate in the development/enhancement/ testing of risk management systems, including review of functional design documents and user acceptance testingâ€¢Primary liaison for providing data room reports for periodic securitizations and conduct periodic portfolio servicing reviewsâ€¢Develop project plans/manage project team activitiesâ€¢Supervise current analytic projects and work load of analysts.What You Need for this Positionâ€¢Bachelor's degree preferable â€¢Ability to read and interpret general business periodicals/technical procedures/government regulations â€¢Ability to write reports/business correspondence /procedure manuals â€¢Ability to effectively present information and respond to questions from senior management/groups of managers/vendors  â€¢Ability to interpret extensive variety of technical instructions in mathematical/diagram form and deal with several abstract/concrete variablesâ€¢Knowledge of SAS (including SAS Bas/Macro/SQL/STAT/Graph) SAS Enterprise Guide/SAS Enterprise Miner/Unix SAS/SQL   â€¢Proficiency in Access/Excel/PowerPointâ€¢Solid understanding of the use of statistical business models and scorecards  â€¢Ability to manage the use of statistical and other data warehouse software to produce standard and ad hoc reports â€¢Sound knowledge of database architecture and relational databases, experience with analytic manipulation and interpretation of large databasesâ€¢Some travel requiredSo, if you are a Senior Data Analyst with experience, please apply today!Applicants must be authorized to work in the U.S.Please apply directly to by clicking 'Click Here to Apply' with your Word resume!Looking forward to receiving your resume and going over the position in more detail with you.- Not a fit for this position? Click the link at the bottom of this email to search all of our open positions.Looking forward to receiving your resume!CyberCodersCyberCoders, Inc is proud to be an Equal Opportunity EmployerAll qualified applicants will receive consideration for employment without regard to race, color, religion, sex, national origin, disability, protected veteran status, or any other characteristic protected by law.Your Right to Work - In compliance with federal law, all persons hired will be required to verify identity and eligibility to work in the United States and to complete the required employment eligibility verification document form upon hire.Copyright Â© 1999 - 2016 . CyberCoders, Inc. All rights reserved.",AL,Montgomery,"SAS (SAS Bas/Macro/SQL/STAT/Graph), SAS Enterprise Guide, SAS Enterprise Miner, Unix SAS, SQL, Access/Excel/PowerPoint, Statistical Business Models and Scorecards - SAS (SAS Bas/Macro/SQL/STAT/Graph), SAS Enterprise Guide, SAS Enterprise Miner, Unix SAS, SQL, Access/Excel/PowerPoint, Statistical Business Models and Scorecards","Full Time, Full-time, Employee",dice.com
"Sr. PHP Developer (HTML, CSS)",CyberCoders,"Minimum Required Skills:web development, HTML, CSS, PHP, ASP.NET, JavaScript, MSSQL, Ruby on Rails, Web Services, Web DesignIf you are a Sr. PHP Developer with experience, please read on!As an organization we work to keep pharmaceutical costs down through a series of contracts, rebates and dividends, lowering a pharmacy's cost of doing business and improving their bottom line. Last year alone, we and our subsidiaries paid over $200 million in rebates and dividends, and saved our pharmacies millions more in operating and acquisition costs. We're able to achieve this level of return due not only to size, but through our market relationships. As a matter of fact, we are considered the 10th largest drug Chain in America by Drug Store News.Top Reasons to Work with Us- Great work environment - Amazing/Generous compensation package- Generous PTO- Full BenefitsWhat You Will Be DoingWe are looking for an outstanding Web Developer to be responsible for the coding, innovative design and layout of our website.  You will build our website from concept all the way to completion from the bottom up, fashioning everything from the home page to site layout and function.- Create website layout/user interface by using standard HTML/CSS practices.- Write well designed, testable, efficient code using the latest SDLC methodologies.- Integrate data from various back-end services and databases.- Build applications and services for the Web- Take on the lead technical role in assigned areas, acquiring expertise in the relevant applications, technologies and business use of IT.- Develop databases that support web applications and web sitesWhat You Need for this Position- Experience in PHP and strong familiarity with ASP.NET, Javascript or Ruby on Rails- Strong knowledge of MSSQL 2012 or higher- In-depth knowledge of modern HTML/CSS and Web Services- Web security design experienceWhat's In It for You- Competitive base salary and overall compensation package- Full benefits: Medical, Dental, Vision- 401 (K) with generous company match- Generous Paid time off (PTO)- Vacation, sick, and paid holidays- Life Insurance coverageSo, if you are a Sr. PHP Developer with experience...1. Apply directly to this job opening here!Or2. E-mail directly for more information to Justin.Johnson@cybercoders.comApplicants must be authorized to work in the U.S.Please apply directly to by clicking 'Click Here to Apply' with your Word resume!Looking forward to receiving your resume and going over the position in more detail with you.- Not a fit for this position? Click the link at the bottom of this email to search all of our open positions.Looking forward to receiving your resume!CyberCodersCyberCoders, Inc is proud to be an Equal Opportunity EmployerAll qualified applicants will receive consideration for employment without regard to race, color, religion, sex, national origin, disability, protected veteran status, or any other characteristic protected by law.Your Right to Work - In compliance with federal law, all persons hired will be required to verify identity and eligibility to work in the United States and to complete the required employment eligibility verification document form upon hire.Copyright Â© 1999 - 2016 . CyberCoders, Inc. All rights reserved.",AL,Scottsboro,"web development, HTML, CSS, PHP, ASP.NET, JavaScript, MSSQL, Ruby on Rails, Web Services, Web Design - web development, HTML, CSS, PHP, ASP.NET, JavaScript, MSSQL, Ruby on Rails, Web Services, Web Design","Full Time, Full-time, Employee",dice.com
ORACLE PLSQL PROGRAMMER/ANALYST,Somasoft Solutions. Inc.,"Our client is the Worlds largest miller and marketer of Rice and is located in Stuttgart, Arkansas. They have 2 or more PERM/FTE positions available for an Oracle PL/SQL Programmer/Analyst to work with their IT Application Development Team to do ERP Database and Reports Development Job Title: Oracle PL/SQL Programmer/AnalystOpen Positions: 2Location: Stuttgart, AR 72160Duration: PERM/FTESalary: $75K to $85KDOE base pay plus benefits (401K, Health, Dental and Life Insurance)Primary skills needed: Needs to be able to code (but doesn't have to be an expert) aka: application and report programming.People/relationships skills to work with end users, stakeholders and solve business/technology problemsJob description:Develops reports and queries using PL/SQL based development tools Gathers and defines requirements for application development projects and acts as a partner with advanced programmers to devise, develop and deliver application & report solutionsTroubleshoots long-running reports, performance bottlenecks, data inaccuracies, in-efficient workflows and data inconsistencies in applications and reports Develops expertise with ERP data, indexes, keys, views & relationship in an ERP database (1000+ tables)Interacts daily with end-users, business leaders, and IT staff to analyze and assess complexities of applications & reports and evaluate how they can be enhanced",AR,Stuttgart,Oracle PL/SQL Programmer Analyst Reporting Troubleshoot ERP Enterprise Resource Planning Database,"Contract Corp-To-Corp, Contract W2, C2H Corp-To-Corp, C2H Independent, C2H W2, 6 months",dice.com
Data entry/ Data Analyst 7980i1,INADEV,Data entry/ Data AnalystWoodlawn MDÂ â€‹B.S. degree plus 1 year of general experienceÂ Â Position Description:â€‹IT/Business analyst will collect data on Earned Value Management tasks and update the Microsoft Project schedule accordingly.Â  Will work as part of a team but will handle tasks independentlySkills Requirements:Required:Analytical thinkerAttention to detail working with numerical dataGood verbal communication skillsÂ Desired:Microsoft Project experienceEVM(Earned Value Management) knowledgeMicrosoft Office suite experienceExperience with software testing and/or quality controlAbility to work with as a team member or independentlyEducation:â€‹B.S. degree plus 1 year of general experienceÂ Â ,AR,Woodlawn,"Data entry, Data analysis, financial analysis, Microsoft Project, Microsoft Office",Full Time,dice.com
MS SQL BI Developer,Latitude36 Inc,"About usÂ â€œLatitude 36 is a national, full service staffing services firm headquartered near Nashville, TN. We specialize in recruiting solutions for Information Technology and Healthcare positions. Founded in 2000, our clients include Fortune 1000 and privately-held companies. Latitude 36 acknowledges that at the end of the day, it is our consultantsâ€™ success that validates our worth. As a prospective Latitude 36 consultant, you can be assured that we will only submit you to positions that you are qualified for. We promise to get your exclusive permission prior to submitting you to each and every opportunity. We take time to know your value and have your best interest at heart â€“ even before you sign the dotted line. As a Latitude 36 consultant, you will always receive the utmost respect, sincere gratitude and friendly service.â€ùFor more information, please visit us at www.lat36.com3-5 years of experience in developing SSRS reports, SSRS report server optimization,Experience in MS SQL server 2008, SSRS Report server 2008, and writing Transact-SQL using Microsoft SQL Server.Â Developing high performance complex business reports, and creating ad hoc reports.Â ",AZ,Tempe,"SSRS, Report, SQL","Contract W2, 24 Months",dice.com
Data Analyst,Software Guidance & Assistance,"Software Guidance & Assistance, Inc., (SGA), is searching for a SAS/Data Analyst for a contract assignment with one of our premier financial clients in Phoenix, AZ.     This position will be responsible for planning the testing/validation schedule for open Customer Remediation and Correction items within the entirety of the Consumer & Community Bank (CCB). The candidate must have a strong understanding of the underlying data and metadata. The candidate must also be able to develop a strong understanding of the issue, analyze the business scenario for a root cause, articulate key risks and customer impacts, develop/provide feedback on an appropriate remediation strategy, validate/test the remediation plan and provide assurances of a quality remediation result by validating the work of the remediation team.      Responsibilities       :     Pulling loan-level data from multiple internal and external sources (Credit Data Mart, Info One, etc.) using different programs/languages (SAS, SQL, Business Objects, etc.)     Writing query code according to specified business and regulatory requirements from an independent perspective and reconcile those results against business results     Performing validation exercises to assure data quality by comparing alternative sources of data, as well as comparing data to source documents     Researching and resolving data issues through systemic investigation     Producing reports summarizing data quality, validation results, portfolio performance and profiling different segments of the portfolio     Producing reconciliations and documentation to satisfy control processes and audit requirements     Effectively communicating results from empirical analysis to senior management      Required        Skills :      5+ years analytical IT/MIS experience, preferably in CCB     Familiarity with SAS, SPSS, CART, or other standard statistical packages     Knowledge of SQL, Unix, Business Objects and other data programming languages also desirable     Adept in the pulling, handling, and analyzing of loan-level data     Must possess strong analytical and problem solving skills to be used in evaluation and interpretation of data     Good understanding of key risk metrics     Strong communication skills; able to translate technical data into simple business presentations     Bachelor's degree or equivalent experience in IT, MIS, Economics, Finance, Statistics, Mathematics, Operations Research or other quantitative fields     Ability to follow complex methods and procedures in diverse routine and non-routine tasks     Highest level of professionalism, self-motivation and sense of urgency     Strong priority management and multi-tasking skills required     Flexible and able to work in a fast-paced environment to effectively meet deadlines, and work with minimal supervision     Ability to deal with highly confidential information in a professional manner.      Preferred        Skills :     5+ years in the financial services industry with experience in credit risk management, audit or quality assurance/control preferred    SGA is a Certified Women's Business Enterprise (WBE) celebrating over thirty years of service to our national client base for both permanent placement and consulting opportunities. For consulting positions, we offer a variety of benefit options including but not limited to health & dental insurance, paid vacation, timely payment via direct deposit. SGA accepts transfers of H1 sponsorship for most contracting roles. We are unable to sponsor for Right-to-Hire, Fulltime, or Government roles. All parties authorized to work in the US are encouraged to apply for all roles. Only those authorized to work for government entities will be considered for government roles. Please inquire about our referral program if you would like to submit a candidate for any of our open or future job opportunities. SGA is an EEO employer. We encourage Veterans to apply. To view all of our available job postings and/or to learn more about SGA please visit us online at       www.sgainc.com      .",AZ,Arizona,"Analysis, Analyst, Business Objects, Consulting, Data Mart, HTTP, Inquire, Management, Metrics, Programming, Quality Assurance, Research, Risk Management, SAS, SQL, Supervision, Testing, Unix, Validation","Full Time, Full Time",dice.com
"Senior Software Engineer (Web, Python)",CyberCoders,"Minimum Required Skills:Python, JavaScript, PHP, PostgreSQL, Unix/Linux, TCP/IP, Django, SQLAlchemy, Cake, LaravelBased in the Glendale, CA, North of LA, we are a ""Fast Growth"" Entertainment Data solution company.  Our team is composed of experts in the world of consumer analytics with a leadership team that brings experiences from leading technology firms and pride themselves in their hands-on, mentor level management style. If you are a strong Software Engineer with 5+ years web development experience, and Python expertise, we would welcome the opportunity to discuss the details.What You Need for this PositionRequirements:- 5+ years of Software Development- Experience in a Python environment- JavaScript experience- Django a big plus- Unix/Linux experience- Excellent communication and written skillsNice to have skills:- Strong interest in creating solutions to problems- Experience in and interest in learning new technologies- Experience managing multiple projects and working independentlyTop Reasons to Work with UsFast growing.Well-funded.What's In It for YouWe are willing to offer excellent compensation packages including annualized pay potential of $110k - $150k, and excellent benefits.So, if you are looking for a ""Fast Growth"" company, Please apply today!Applicants must be authorized to work in the U.S.Please apply directly to by clicking 'Click Here to Apply' with your Word resume!Looking forward to receiving your resume and going over the position in more detail with you.- Not a fit for this position? Click the link at the bottom of this email to search all of our open positions.Looking forward to receiving your resume!CyberCodersCyberCoders, Inc is proud to be an Equal Opportunity EmployerAll qualified applicants will receive consideration for employment without regard to race, color, religion, sex, national origin, disability, protected veteran status, or any other characteristic protected by law.Your Right to Work - In compliance with federal law, all persons hired will be required to verify identity and eligibility to work in the United States and to complete the required employment eligibility verification document form upon hire.Copyright Â© 1999 - 2016 . CyberCoders, Inc. All rights reserved.",AZ,Glendale,"Python, JavaScript, PHP, PostgreSQL, Unix/Linux, TCP/IP, Django, SQLAlchemy, Cake, Laravel - Python, JavaScript, PHP, PostgreSQL, Unix/Linux, TCP/IP, Django, SQLAlchemy, Cake, Laravel","Full Time, Full-time, Employee",dice.com
Business Intelligence Developer,Nigel Frank International,"Business Intelligence Developer - Phoenix 100k - 110kBusiness Intelligence Developer - Phoenix 100k - 110k Investment firm is looking for a talented Business Intelligence Developer to join our growing and dynamic team in Phoenix. The candidate reports to the Business Intelligence Manager and will be responsible for creating, maintaining, and administering data management processes and reporting. Additionally, the candidate will be responsible for data quality control, analysis, and solutions for portfolio surveillance, tracking and risk management using database resources in support of the firm's operations. This is a small team and any candidate must be a team-player, able and willing to work on multiple projects at once, pick up complex concepts and communicate effectively to both internal and external constituents. ESSENTIAL DUTIES: Work closely with the Business Intelligence Manager to create, maintain, and administer data best practices in support of the firm's operations Support SQL Database and SSIS/ETL development, quality control, and reporting efforts Provide input into overall development/implementation plan and document database builds and changes, perform SQL designs, table designs, and stored procedures work Ability to help architect, design and configure large, complex databases with replication and high-availability on the most current MS SQL versions Assist in the translation of logical to physical design, develop comprehensive database architecture, implementation and upgrade plans and assist in definition of database standards, policies, and procedures Lead data requirements, architecture review, and modeling sessions Serve as contact for projects within the team, interfacing with data providers, application development staff, and Executive Management Assist in data loading, security, capacity planning and backup and recovery Optimizing database performance, queries, and stored procedures Production patch/upgrade management Research, plan, design, and develop new solutions for the firm Develop new enhancements, reports, and features for new and/or existing data products Research problems associated with existing products as necessary, recommend appropriate solutions, and resolve issues Work directly with department managers to develop ad hoc reports, models, and tools used to manage the portfolio REQUIRED: *Hands-on development experience *3+ years' experience in ETL development with Microsoft SSIS *Advanced knowledge of T-SQL queries and Microsoft Excel and have strong experience with SQL *Server Analysis Services and SQL Server Integration Services *3+ years' experience with MS SQL database development, database modeling, and dimensional models IT'S A PLUS IF... *Industry Experience: Financial industry experience is compulsory. Mortgage or real estate experience preferred. *Experience building cubes with Microsoft SSAS *Starschema *Understanding of data warehouse design fundamentals (i.e. Kimball vs Inmon Approach) *Tableau report development experience *Experience with project management best practices and project development life cycles *Proficiency with Microsoft Office suite, especially MS Excel and MS Access *Experience developing front-end software solutions a plus *Team-player with strong communication and interpersonal skills, possess a high degree of self-motivation and ability to work independently with minimal supervision This role will fill quickly so if you are interested please apply immediately. To apply directly please email me at j.zorrilla@nigelfrank.com or call me at 818-356-8566.",AZ,Phoenix,Business Intelligence Developer - Phoenix 100k - 110k,Full Time,dice.com
"VB.NET, MSSQL Stack DEVELOPER  Contract",Kshunya Inc,"Pl submit word resume with daytime contact # to Lena@Kshunya.com Thank you!Â VB.Net DEVELOPER- 6 mons C2Perm(ASP.Net, C# developers acceptable)Govt Client- Must be Green Card or US Citizens. Must be ok with conversion to fulltime after 4-6 monthsÂ Salary at time of conversion Base + comprehensive benefits + pensionâ€¢ Role: Reviewing detailed requirements, designing and writing new programs and modifying existing programs; â€¢ Testing, troubleshooting and debugging new and changed code; â€¢ Working with shared resources to move code from development to test to production environments. Skill Required : Windows 7, 8.1, Â VB.NET (C# acceptable), Â SQL Server DBMS, SSIS, SSRS , Â NET 3.5, 4.0 IBM MQÂ Â Pl submit word resume with daytime contact # to Lena@Kshunya.com Thank you!",AZ,Phoenix,"Windows 7, 8.1,  VB.NET (C#, ASP.net acceptable),  SQL Server DBMS, SSIS,  SSRS ,  NET 3.5, 4.0 IBM MQ","C2H Corp-To-Corp, C2H Independent, C2H W2, 3-6 Mons Con2Hire",dice.com
