Position,Company,Description,Loc_state,Loc_city,Skills,Type,Source
Technical Writer - SQL Experience Job in Torrance,NA,Position Summary:-          Need supplement SQL development and documentation of processes for production deployment.o    SOX documentationo    ITGC documentationo    User and Admin guide development What are the key objectives for this resource (project summary)?-          Develop robust data dictionary-          Create all supporting user guides and admin guides-          Create sharepoint site to house all documentation and reference documents-          Provide supplemental support for database development  Must Haves:·         Very strong technical writing skills·         SSIS (SQL Server Integration Services) familiarity·         Oracle (TOAD) familiarity·         Basic SQL coding skills Preferred/ Nice-to-haves:·         Sharepoint development/administration experience·         Strong SQL development background·         Familiarity with SSAS·         Familiarity with Wall Street Systems·         Fixed Income / Finance knowledge,CA,Torrance,NA,Full Time,monster.com
Data Analyst (Intelligence Analyst) at USPIS Job in New York,NA,"FSA, a rapidly growing professional services company delivering highly qualified personnel in support of the government's mission, has an immediate vacancy for a Data Analyst/Intelligence Analyst with the US Postal Inspection Service (New York City). A Data Analyst executes the following duties:Provide organization and management of case filesReview data (completeness of information, proper execution)Extract data from data baseObtain additional information from other investigative agencies/data baseEstablish/maintain physical filePrepare notices/advertisementsReceive, suspense petitions, claims, process sharing requestsReconcile inconsistenciesPrepare declarationsGather information and organize investigative packageVerify case files and case tracking systemMaintain internal status information on the disposition of all forfeited assetsAssure information is accurate and perform analytical computations necessary to process dataConduct and reconcile inventoriesDistribute and receive documentsAssist lead analyst or official in obtaining/collecting all documents/information to complete case fileProvide administrative information and assistance concerning case to other investigative agencies, local law enforcement agencies, US Attorney, and other DOJ processing units, and higher headquartersExtract data from agency data base for management and program reportsPerform word processing relevant to case documentationPerform data entry relevant to caseA Data Analyst must meet the following qualifications:High School diploma, bachelor's Degree preferredAbility to review and analyze data and information from multiple sourcesAbility to establish case/project filesAbility to enter and retrieve data from data basesAbility to prepare and format management reportsAbility to manipulate, transfer, and compute and print informationAbility to create and manipulate spreadsheetsAbility to prepare and correct reports and correspondence using word processing softwareThis position requires U.S. Citizenship and a 7 (or 10) year minimum background investigation.Forfeiture Support Associates (FSA), LLC is proud to be an Affirmative Action/Equal Opportunity Employer. We recruit, employ, train, compensate, and promote qualiﬁed persons in all job titles without regard to age, ancestry, color, gender, HIV status, marital status, medical condition, national origin, physical or mental disability, race, religion, sex, sexual orientation (including gender expression and identity), veteran status, family leave status or any protected group status as deﬁned by applicable law.",NY,New York,NA,Full Time Employee,monster.com
Data Analyst II Job in Richland,NA,"« back Learn More Data Analyst II Job #:  672687Engagement Type: NoShort Description: Data Analyst II C2 Clearance: Candidate(s) submitted must be able to obtain a C2 clearance. Please make sure candidate(s) understand how in-depth the C2 process will be prior to submission so they understand the expectations.CANDIDATE TECHNICAL BACKGROUND: -- Research and Analysis Experience (Required, 2 years) -- Experience with Root Cause Analysis Facilitation Note: Root Cause Analysis Facilitation experience is KEY for this position. Candidate needs to be able to understand technical terminology, have strong analytical skills, and be able to actively ask intelligent questions in order to get to the root cause of 'why' an issue occurred, etc.Strong analytical thinking is a MUST for this role. -- Data Analysis Experience -- Experience communicating with Upper Management -- Experience with Microsoft Access -- Experience with Microsoft Excel Note:Candidate MUST be very proficient with Excel. Candidate(s) need to have experience manipulating data, experience with pivot tables, SUMIFs, etc) -- Experience with Microsoft Word -- Experience with Microsoft PowerPoint -- Experience with Process Improvement Techniques (Nice To Have) -- Experience with Information Technology Terminology -- Experience with Standard Hardware and Application familiarity -- Excellent Written Communication -- Strong Statistical Background -- Knowledge of ITIL (Nice To Have) -- Microsoft Visio (Nice To Have) -- Experience with SQL or DB2 (Nice To Have)DAILY JOB RESPONSIBILITIES: -- Will serve on the Problem Management team apart of the strategic ITIL initiative. -- Daily data analysis and communication with System Managers on potential problems their systems may be experiencing. -- Identify problems with BlueCross BlueShield Applications or Hardware and facilitate the problem-resolution with system owners to reduce or eliminate the problems. -- Coordinate and join meeting-to-gather analytical data for root-cause and problem resolution and then compile into a cohesive document. -- Update access database and create and manipulate reports in access.SYSTEM(S) THE CONTRACTOR WILL INTERACT WITH/BE RESPONSIBLE FOR: Access Database, Excel Reports,INFO PRIMARY WORKING RELATIONSHIP(S) INSIDE AND OUTSIDE THE ORGANIZATION: Managers and Senior Management. Candidates much have strong verbal communication and presentation skills.WORKING HOURS/CONDITIONS: -- 8:00 AM EST - 5:00 PM EST / Cubicle.-- MUST Able to work MANDATORY overtime, as needed. Please note though, that any overtime worked must be approved by the manager.TEAM SIZE: 4JOB DESCRIPTION: 40% -- Reviews, extracts and analyzes data to be used in formulation of procedures, processes and other requirements. Provides reports of relevant activity to be used to identify problematic areas and to provide basis for modification and/or elimination of operations issues.30% Coordinates and joins meetings to gather analytical data for root-cause analysis and problem resolution and then compile into a cohesive documents and update access database with data.20% -- Assists with development of complex analysis and sophisticated data compilation, verification, and interpretations to guide divisional efforts. Performs focused analyses as needed. Creates data search programs to identify pertinent data needed to provide supporting documentation for system or operational enhancements/changes.10% -- Documents reporting procedures so other staff can run ad hoc reports independently. Designs, codes, and maintains complex database programs for the extraction and analysis of data to support financial and operational decisions. Performs other duties as assigned         EEO EmployerApex Systems LLC is an Equal Opportunity/Affirmative Action Employer. We evaluate qualified applicants without regard to race, color, religion, sex, national origin, disability, veteran status, and other protected characteristics. If you have visited our website in search of information on employment opportunities or to apply for a position, and you require an accommodation in using our website for a search or application, please contact our Employee Services Department at 866-612-2739.Learn More $('span#TrackingJobBody a').each(function (i, v) { if ($(v).attr('href')) { var href = $(v).attr('href').toLowerCase(); if (href.match(""^http"")) { switch (true) { case /facebook/.test(href): $(v).attr('mns_rt', 'NonJob-Facebook'); break; case /linkedin/.test(href): $(v).attr('mns_rt', 'NonJob-Linkedin'); break; case /twitter\.com/.test(href): $(v).attr('mns_rt', 'NonJob-Twitter'); break; case /plus\.google\.com/.test(href): $(v).attr('mns_rt', 'NonJob-GooglePlus'); break; case /youtube/.test(href): $(v).attr('data-track', 'Client-Social-Youtube'); break; case /http[s]?\:\/\/([a-z0-9\-\.]{1,}\.[a-z]{2,})[\/]?$/.test(href): $(v).attr('data-track', 'Client-Link-Homepage'); break; default: $(v).attr('mns_rt', 'jobcustomapplyonline'); break; } } } });",SC,Richland,NA,Full Time Employee,monster.com
Sr Technical Analyst - MS ETL Job in Augusta  body { margin:px; overflow: visible !important; } #ejb_header { color: #; font-family: Verdana,NA,"Job Title: Senior Technical AnalystLocation: Augusta, Maine (must be onsite 100%)START DATE: ASAP LENGTH OF CONTRACT: 3 months The existing application is no longer meeting the business needs of the client. This effort will focus on the need to do a business requirements analysis, a technical health check, documentation review and technical solution proposals. JOB DESCRIPTION: This position will be critical in the technical analysis of an existing financial application and the technical solution for modernizing and/or replacing the application. REQUIREMENTS: SQL (T/PL); AdvancedSSRS; AdvancedSSAS; AdvancedSSIS; Advanced MDX; AdvancedWeb Forms; AdvancedThe Company is an equal opportunity employer and makes employment decisions on the basis of merit and business needs. The Company will consider all qualified applicants for employment without regard to race, color, religious creed, citizenship, national origin, ancestry, age, sex, sexual orientation, genetic information, physical or mental disability, veteran or marital status, or any other class protected by law. To comply with applicable laws ensuring equal employment opportunities to qualified individuals with a disability, the Company will make reasonable accommodations for the known physical or mental limitations of an otherwise qualified individual with a disability who is an applicant or an employee unless undue hardship to the Company would result.",ME,Augusta,NA,Full Time Temporary/Contract/Project,monster.com
Sr. Oracle PL/SQL Developer Job in Birmingham,NA,"PL/SQL Developer   Cognizant Technology Solutions (CTSH) is looking for a PL/SQL Developer Specialist. The individual should have extensive experience in PL/SQL Developer     Job Summary –   ·         Over 5+ years  of Oracle PL/SQL and SQL Development experience ·         Outstanding written and verbal communication skills ·         Strong Interpersonal Skills     Job Responsibilities –   ·         Good exposure to Performance Tuning ·         Understanding of Data Modeling concepts ·         Unix Scripting ·         Oracle Business Intelligence Tools (Nice to have) ·         Reporting Tools (Crystal Reports, Oracle Reports, Discoverer and APEX – Nice to have)   Minimum Qualifications –   ·         Bachelor’s Degree ·         Hands on experience on PL/SQL Development     A Snapshot about Us:   Cognizant (NASDAQ: CTSH) is a leading provider of information technology, consulting, and business process outsourcing services, dedicated to helping the world's leading companies build stronger businesses. Headquartered in Teaneck, New Jersey (U.S.), Cognizant combines a passion for client satisfaction, technology innovation, deep industry and business process expertise, and a global, collaborative workforce that embodies the future of work. With over 75 development and delivery centers worldwide and approximately 187,400 employees as of June 30, 2014, Cognizant is a member of the NASDAQ-100, the S&P 500, the Forbes Global 2000, and the Fortune 500 and is ranked among the top performing and fastest growing companies in the world. Visit us online at www.cognizant.com or follow us on Twitter: Cognizant.     Cognizant is an Equal Opportunity Employer M/F/D/V. Cognizant is committed to ensuring that all current and prospective associates are afforded equal opportunities and treatment and a work environment free of harassment.   Technical Skills SNo Primary Skill Proficiency Level * Rqrd./Dsrd. 1 Ab Initio Conduct>It NA Required 2 Ab Initio BRE NA Required 3 Ab Initio Administration NA Required 4 Ab Initio ACE NA Required 5 AAS NA Required   * Proficiency Legends Proficiency Level Generic Reference PL1 The associate has basic awareness and comprehension of the skill and is in the process of acquiring this skill through various channels. PL2 The associate possesses working knowledge of the skill, and can actively and independently apply this skill in engagements and projects. PL3 The associate has comprehensive, in-depth and specialized knowledge of the skill. She / he has extensively demonstrated successful application of the skill in engagements or projects. PL4 The associate can function as a subject matter expert for this skill. The associate is capable of analyzing, evaluating and synthesizing solutions using the skill.   About Cognizant Cognizant (NASDAQ: CTSH) is a leading provider of information technology, consulting, and business process services, dedicated to helping the world's leading companies build stronger businesses. Headquartered in Teaneck, New Jersey (U.S.), Cognizant combines a passion for client satisfaction, technology innovation, deep industry and business process expertise, and a global, collaborative workforce that embodies the future of work. With over 100 development and delivery centers worldwide and approximately 233,000 employees as of March 31, 2016, Cognizant is a member of the NASDAQ-100, the S&P 500, the Forbes Global 2000, and the Fortune 500 and is ranked among the top performing and fastest growing companies in the world. Visit us online at www.cognizant.com or follow us on Twitter: USJobsCognizant.",AL,Birmingham,NA,Full Time Employee,monster.com
ETL Developer Job in Cincinnati,NA,"We are looking for ETL developers on 6 months contract to hire.Responsibilities:Work with various customers and prospects, understands and translates business use cases and/or requirements into data models, analytics reports and scenario models.Facilitate information gathering sessions and provides data analysis and data mapping.Identifies data sources, develop and maintain data architectures, constructs data catalog and data decomposition diagrams, provide data flow diagrams and documents the process.Design and develop ETL packages & scripts and stored procedures.Design and construct enterprise data warehouse, operational data stores and data marts.Design, implement and maintain database objects (tables, views, indexes, etc.) and database security.Build SSAS multidimensional and tabular OLAP cubes.Qualifications:Familiar with Microsoft SQL, stored procedure and Integration Services (SSIS) ETL design and development.Working experiences in design and modeling normalized and dimensional (e.g. star schema) data warehouse systems.Self-motivated team player who excels in a collaborative environment.Strong sense of personal accountability.Excellent analytic and problem solving skills.Passionate about continuously improving organizational practices. Ability to learn and apply new technologies quickly and self-directed.SQL Server Analysis Services (SSAS) development experiences are helpful, but less important. SQL Server Reporting Services (SSRS) or other reporting tool skills are nice to have.Kalido DIW and MDM skills are plus but not required.",OH,Cincinnati,NA,"Full Time, Employee",monster.com
Data Analyst Job in Irving,NA,"DATA ANALYST – CONTRACT – IRVING, TX• Well versed in Excel, have an understanding of databases and data sources and will ideally have experience in a finance environment.• Ability to collect and analyze the data and provide a written summary and recommendation of the results.• Self-driven and motivated to discover ‘next steps’ to complete tasks and be comfortable tracking down data owners within the organization and being persistent about getting the data they need.• Strong in pivot tables, vlookups and data structuring and analysisFollow us on our BLOG to see more jobs like this: http://dallas.vereduscorp.com / Why Veredus?Candidates work with a professional Recruiter whose average experience is eight years in the industry. That means they have intimate knowledge of the Information Technology industry and market trends - who is in demand now and who will be next. Your Veredus Recruiter will lead you through a thorough screening process in order to understand your skills, experience, needs, and desires. They also counsel their candidates in resume writing, interviewing, and career planning so when there’s a position you really want, you’re fully prepared to get it. . Additionally, if the position is a consulting opportunity Veredus provides full benefits starting Day 1, and at virtually no cost to you. • Medical • Dental • Vision • 401K • Life Insurance ($20,000 benefit)• ATOP - Accrued Time Off Program• Consultant Lunches and Outings • Consultant Web-Site• Name Plates• Care packages/Survival packs• Dedicated Consulting Services RepresentativeVeredus has been recognized as one of the “Best Staffing Firms to Work For” by Staffing Industry Analysts the last 3 years in a row. Nervous about an upcoming interview? Want to be as prepared as possible?Click on the link below and you will have access to the Veredus Interview Prep Video - culled from hundreds of years of collective experience in preparing candidates for that all important job interview: http://vereduscorp.com/career-center / Veredus Corporation is an EEO/Affirmative Action Employer M/F/D/V.Drug testing may be required; please contact Recruiter for more information.",TX,Irving,NA,Full Time Temporary/Contract/Project,monster.com
Oracle PL/SQL Developer Job in Birmingham,NA,"PL/SQL Developer   Cognizant Technology Solutions (CTSH) is looking for a PL/SQL Developer Specialist. The individual should have extensive experience in PL/SQL Developer     Job Summary –   ·         Over 4-6 years  of Oracle PL/SQL and SQL Development experience ·         Outstanding written and verbal communication skills ·         Strong Interpersonal Skills     Job Responsibilities –   ·         Good exposure to Performance Tuning ·         Understanding of Data Modeling concepts ·         Unix Scripting ·         Oracle Business Intelligence Tools (Nice to have) ·         Reporting Tools (Crystal Reports, Oracle Reports, Discoverer and APEX – Nice to have)   Minimum Qualifications –   ·         Bachelor’s Degree ·         Hands on experience on PL/SQL Development     A Snapshot about Us:   Cognizant (NASDAQ: CTSH) is a leading provider of information technology, consulting, and business process outsourcing services, dedicated to helping the world's leading companies build stronger businesses. Headquartered in Teaneck, New Jersey (U.S.), Cognizant combines a passion for client satisfaction, technology innovation, deep industry and business process expertise, and a global, collaborative workforce that embodies the future of work. With over 75 development and delivery centers worldwide and approximately 187,400 employees as of June 30, 2014, Cognizant is a member of the NASDAQ-100, the S&P 500, the Forbes Global 2000, and the Fortune 500 and is ranked among the top performing and fastest growing companies in the world. Visit us online at www.cognizant.com or follow us on Twitter: Cognizant.     Cognizant is an Equal Opportunity Employer M/F/D/V. Cognizant is committed to ensuring that all current and prospective associates are afforded equal opportunities and treatment and a work environment free of harassment.   Technical Skills SNo Primary Skill Proficiency Level * Rqrd./Dsrd. 1 Ab Initio Conduct>It NA Required 2 Ab Initio BRE NA Required 3 Ab Initio Administration NA Required 4 Ab Initio ACE NA Required 5 AAS NA Required   * Proficiency Legends Proficiency Level Generic Reference PL1 The associate has basic awareness and comprehension of the skill and is in the process of acquiring this skill through various channels. PL2 The associate possesses working knowledge of the skill, and can actively and independently apply this skill in engagements and projects. PL3 The associate has comprehensive, in-depth and specialized knowledge of the skill. She / he has extensively demonstrated successful application of the skill in engagements or projects. PL4 The associate can function as a subject matter expert for this skill. The associate is capable of analyzing, evaluating and synthesizing solutions using the skill.   About Cognizant Cognizant (NASDAQ: CTSH) is a leading provider of information technology, consulting, and business process services, dedicated to helping the world's leading companies build stronger businesses. Headquartered in Teaneck, New Jersey (U.S.), Cognizant combines a passion for client satisfaction, technology innovation, deep industry and business process expertise, and a global, collaborative workforce that embodies the future of work. With over 100 development and delivery centers worldwide and approximately 233,000 employees as of March 31, 2016, Cognizant is a member of the NASDAQ-100, the S&P 500, the Forbes Global 2000, and the Fortune 500 and is ranked among the top performing and fastest growing companies in the world. Visit us online at www.cognizant.com or follow us on Twitter: USJobsCognizant.",AL,Birmingham,NA,Full Time Employee,monster.com
BI Analyst Manager Job in San Francisco,NA,"RESPONSIBILITIES:Kforce has a client seeking a BI Analyst Manager in San Francisco, California (CA). This is a contract-to-hire opportunity. Responsibilities: Will be responsible for discerning client's explicit and implicit needs, and presenting data findings to business audiences in person, in writing, and in conference calls The candidate will also be responsible for creating presentations for upper management, interpreting business trends and highlighting opportunities in business-oriented data-driven termsREQUIREMENTS: Must be able to interpret data in business terms, to bridge business partner needs with technical capabilities The successful candidate must understand that the use of technology is not an end unto itself; The group the candidate will lead is part of a larger business process; the candidate accordingly needs to understand and add value to that larger process Strong professional written and verbal communication skills Problem solving skills; Examples: Must be able to understand a business problem from the client's perspective and propose potential solutions; Must be able to explore and understand previously-unused data sources The ability to visualize how existing technology solutions could be changed / leveraged to meet future needs would be a plus Flexibility/ Adaptability; We have a fast-paced working environment and need someone whose multi-tasking ability can keep up with us Previous management experience; Will be responsible for 3 Analysts A financial services or marketing background would be a plus Strong SQL experience Must be able to write complex SQL queries Must be able to validate and debug existing queries Strong Report Development Experience Must be able to interpret data in business terms, so as to be able to bridge business partner needs with technical capabilities Strong professional written and verbal communication skills Problem solving skills",CA,San Francisco,NA,"Full Time, Temporary/Contract/Project",monster.com
Hadoop Administrator Job in Schaumburg,NA,"We are looking out for Hadoop Administrator for our project team based out of IL.   Job Summary: Experience Database and Data Warehousing with excellent understanding, analyzing and documenting and candidate should be very good in client facing, communication and presentation skills.   Responsibilities: •          Interacted with the business users and division supervisors to gather the requirements. •          Diligently teaming with the infrastructure, network, database, application and business intelligence teams to guarantee high data quality and availability. •          Collaborating with application teams to install operating system and Hadoop updates,  •          Screen Hadoop cluster job performances and capacity planning •          Monitor Hadoop cluster connectivity and security •          Manage and review Hadoop log files. •          File system management and monitoring. •          HDFS support and maintenance.   Minimum Qualifications: •          Responsible for implementation and ongoing administration of Hadoop infrastructure. •          Have worked extensively in Hortonworks Data Platform (HDP). •          General operational expertise such as good troubleshooting skills, understanding of system’s capacity, bottlenecks, basics of memory, CPU, OS, storage, and networks. •          Experience in Hadoop skills like MR, Hive, Pig, is advantage. •          Good knowledge of Linux as Hadoop runs on Linux. •          Knowledge of Troubleshooting Core Java Applications is a plus. •          Good to have knowledge on Puppet/Chef/Ansible Technical Skills SNo Primary Skill Proficiency Level * Rqrd./Dsrd. 1 Hadoop Administration NA Required 2 HP - Unix Administration NA Required   Domain Skills SNo Primary Skill Proficiency Level * Rqrd./Dsrd. 1 Claim NA Required   * Proficiency Legends Proficiency Level Generic Reference PL1 The associate has basic awareness and comprehension of the skill and is in the process of acquiring this skill through various channels. PL2 The associate possesses working knowledge of the skill, and can actively and independently apply this skill in engagements and projects. PL3 The associate has comprehensive, in-depth and specialized knowledge of the skill. She / he has extensively demonstrated successful application of the skill in engagements or projects. PL4 The associate can function as a subject matter expert for this skill. The associate is capable of analyzing, evaluating and synthesizing solutions using the skill.   About Cognizant Cognizant (NASDAQ: CTSH) is a leading provider of information technology, consulting, and business process services, dedicated to helping the world's leading companies build stronger businesses. Headquartered in Teaneck, New Jersey (U.S.), Cognizant combines a passion for client satisfaction, technology innovation, deep industry and business process expertise, and a global, collaborative workforce that embodies the future of work. With over 100 development and delivery centers worldwide and approximately 233,000 employees as of March 31, 2016, Cognizant is a member of the NASDAQ-100, the S&P 500, the Forbes Global 2000, and the Fortune 500 and is ranked among the top performing and fastest growing companies in the world. Visit us online at www.cognizant.com or follow us on Twitter: USJobsCognizant.",IL,Schaumburg,NA,Full Time Employee,monster.com
