,Position,Company,Description,District of Columbia-Washington,Loc_state,Loc_city,Loc_zip,JobPostDate
1,Business Data Analyst,21Tech,"21 Tech is looking for a Business Data Analyst to work at our client's site in Chicago, IL. This is a 3 months contract position. You must be authorized to work in the United States without sponsorship, No H1B.

Day-to-day operations include analysis of weather data (past and forecast), in relation to various sectors, including agriculture (corn, soybeans, wheat) and energy (power and gas). Expertise in any of the following fields/markets would be highly beneficial: Meteorology, Atmospheric sciences, Climatology, Agriculture, Crop Production, Natural Gas, Power production, to name a few. 

The short-term role will be based in our client´s office in downtown Chicago. The analyst will be expected to interpret results using a variety of techniques, work with colleagues to understand impacts on crops and energy markets, talk with clients on occasion, and write reports to be published to applications within one of our client´s products.. Requires a bachelor's degree in area of specialty and 4-6 years of experience in the field or in a related area, if possible. A wide degree of creativity and latitude is expected. Will report directly to Head of Weather Research, also located in Chicago office.",IL - Chicago,IL,Chicago,,
117,Enterprise Database Administrator - SQL Server,Adventist Health System," Job Description - Enterprise Database Administrator - SQL Server (255715)Job Description Enterprise Database Administrator - SQL Server-255715Description Works under the supervision of the Manager of the Enterprise Database Team, the Enterprise Database Administrator is responsible for the deployment and continued support of mission critical SQL Server and mySQL database systems.  Using technologies such as SQL Server Management Console, SQL Server Query Analyzer, SQL Server Profiler, SQL Server Always-On, SQL Server Log-Shipping, and the management required for the support of mySQL database systems, the position is responsible for the availability, stability, and performance of the database systems at Adventist IT.
 
The position also requires demonstrated competence in administration of BI Analytic tools such as SQL Server Integration Services (SSRS), SQL Server Reporting Services (SSRS), SQL Server Analysis Services (SSAS), and an understanding in the newly released PowerBI tools.   
 
The Enterprise Database Administrator is responsible for the coordination of cross-functional teams when related to the deployment and support of the physical/virtual database servers.  This includes technologies such as: VMWare, Red Hat Linux, Oracle Linux, Windows Server, physical servers, and the supporting storage teams.
Last, the Enterprise Database Administrator ensures all data is handled in accordance with established policies, procedures, and specifications.  Maintains the database environment to meet or exceed compliancy with established standards, policies and configuration guidelines.  The position also participates in an on-call rotation for the support of the database systems during and outside business hours.
 
 Qualifications 
Job Requirements

Minimum of 5 years of demonstrated skills in the installation, configuration, and continued support of the SQL Server database platform in a highly virtualized environment.  This also includes the in-depth knowledge of performance tuning of SQL Server database systems, the implementation of high-availability features such as Always-On, Log-Shipping and Replication.
Minimum of 3 years of demonstrated skills in the support of business analytic applications such as SSIS, SSRS, and SSAS.  Initial experience in learning PowerBI is helpful as well.
Exposure to the support of mySQL Systems is preferred but not required.
Strong verbal and written communication skills are required.
Excellent customer service is a must.Job: Information TechnologyOrganization: Adventist ITPrimary Location: US-FL-Altamonte SpringsSchedule: Full-timeShift: DayJob Level: Staff / AssociateEducation Level: Bachelor's DegreeTravel: NoJob Posting: Oct 2, 2017, 12:17:48 PM   ",US-FL-Altamonte Springs,FL,Altamonte Springs,,2017-10-02T12:00:00+00:00
190,Analyst Business Intelligence Investments,Adventist Health System," Job Description - Analyst Business Intelligence Investments (257233)Job Description Analyst Business Intelligence Investments-257233Description If you want to be a part of a place that provides nothing less than extraordinary compassionate care, then Adventist Health System is the place for you!
 
We are currently seeking qualified candidates for an Analyst Business Intelligence Investments position that will be based in our Investments department. This position is based at our corporate office in Altamonte Springs, FL.  
 
This position provides the opportunity to be mainly responsible for the creation of BI solution reports, visualizations, charts and interactive dashboards. This position will solicit requirements from business project sponsors and lead projects from planning through implementation. Will define needs and recommend solutions that deliver value to stakeholders and build analytics for operational use and other business solutions. Ability to work effectively within the investment team, accounting/finance partners, and other technical and business teams. Continually maintain working knowledge of the current toolsets and future toolsets used by the investment team.
 
Specific job duties include: 

Design and implement business intelligence (BI) reporting, dashboards and analytics for the Investment department
Develop database views, SQL queries, stored procedures to support reporting/analytics and interactive dashboards
Determines a project’s requirements by extracting them from business project sponsors, as well as from current and future users, through interaction and research
Coordinates with other developers on the team to build and share knowledge, ensuring consistent delivery of information
Create static reporting using Microsoft SQL Server Reporting Services (SSRS) and dynamic dashboard using Microsoft Power Business Intelligence (PowerBI) 
Defines project requirements by identifying project milestones, phases, and elements
Support, maintain and develop new and existing business intelligence solutions
Create technical documentation for data/reporting processes
 
Experience Requirements:

3+ years of experience in development, testing and implementation of reports and dashboards (SSRS, PowerBI, QlikView or any BI report & dashboard tool) required
 
Educational Requirements:

Minimum Bachelor’s degree in Computer Science, Database Systems, Software Engineering, Management Information Systems, Business Administration or similar major required
Certified Business Analysis Professional (CBAP) preferred 
 
Knowledge and Skills Required: 

Ability to develop code to support tabular/matrixed reports and dashboards with multiple grouping, summations, aggregations and calculations
Proficient at scripting in structured query language (SQL, T-SQL or PL/SQL)
Skilled in writing database views, stored procedures and functions to develop business intelligence solutions
Familiarity with relational database design
Knowledge of building, deploying, testing and maintaining reports or dashboards
Exceptional interpersonal skills and a team player
Strong written and verbal communication skills
Ability to solicit business requirements and implement as BI solutions
Desire to learn and work with new technologies 
 

If this position sounds like a great match for your skills set and experience, please apply online now!
Job: Other Non-Clinical ProfessionalOrganization: Adventist Health System Corporate OfficePrimary Location: US-FL-Altamonte SpringsSchedule: Full-timeShift: DayJob Level: Staff / AssociateEducation Level: Bachelor's DegreeTravel: NoJob Posting: Oct 10, 2017, 2:32:46 PM   ",US-FL-Altamonte Springs,FL,Altamonte Springs,,2017-10-10T12:00:00+00:00
362,Director of Data Science,AllianceData," Job Description - Director of Data Science (0089550)Job Description Director of Data Science - (0089550) Summary 

The Analytic Consulting Group
partners with internal and external clients and data providers, leveraging
predictive analytics and advanced statistical techniques to drive strategic
thought and effective decision making. The Data Science Director, plans,
manages and controls the activities of teams of statisticians that provide
advanced statistical solutions for our clients

 

This position requires an
individual with a combination of computational and analytical skills. The
candidate should have a solid foundation in computer science and
statistics/math with well-honed skills in the following areas:

Data Managementexperience with both structured and unstructured data, and
Hadoop or similar technologiesable to identify, join, explore and examine data from multiple
disparate sources and formatsability to reduce large quantities of unstructured or
formless data and get it into a form in which it can be analyzedability to deal with data imperfections such as missing
values, outliers, inconsistent formatting, etc.Statistics &
Modelingknowledge of statistical theories and techniques commonly
used in prediction and optimization modelsability and desire to go beneath the surface of a problem
and distill it into a clear set of hypotheses that can be testedDesign, plan, and manage projects from start to finish
& produce data-driven results with appropriate techniques to answer key
business questionsmastery of statistical programming languages such as R and
PythonMachine Learningexperience with machine learning algorithms, such as
k-nearest neighbors, random forests and ensemble methods and their
corresponding implementation packages in R or Pythonunderstand when it is appropriate to use different
techniquesexperience with distributed computing, such as Hadoop,
Spark or related technologiesSoftware Developmentthe ability to write code in programming languages such as
SAS, Java, R, and Pythoncapable of developing prototypes and fashion their own
tools to conduct analytic research

Qualifications

Advanced degree (Master’s/PhD) in Statistics, Computer
     Science or other quantitative disciplineMinimum of 8 years of related experienceMinimum 5 years proven managerial or supervisory
     experienceSolid planning, priority setting, and project
     management skills with experience managing multiple projects and resources
     concurrentlyExcellent verbal and written communications skills and
     good at developing relationships across diverse teams, including marketing
     and account teamsMastery of various statistical methodologies such as
     regression analysis (linear and non-linear), cluster analysis, CHAID, time
     series, survival modelsExperience with machine learningExperience with SQL, Scala, Python or JavaProficiency in at least one open source statistical
     program like R and KNimeWorking knowledge of Hadoop and other big data
     technologiesStrong understanding of Statistics and modeling
     techniquesStrong analytic thought process and ability to
     interpret findingsAbility to work on multiple assignments concurrently

 

In addition, the candidate should
have strong business acumen, and interpersonal and communication skills, yet
also be able to work independently. He/she should be able to communicate
findings and the way techniques work in a manner that all stakeholders, both
technical and non-technical, will understand.  Conditions of EmploymentAll job offers are contingent upon successful completion of certain background checks which unless prohibited by applicable law may include criminal history checks, employment verification, education verification, drug screens, credit checks, DMV checks (for driving positions only) and fingerprinting.Great People, Deserve Great BenefitsWe know that we have some of the brightest and most talented associates in the world, and we believe in rewarding them accordingly.  If you work here, expect competitive pay, comprehensive health coverage, and endless opportunities to advance your career.  From tuition reimbursement to scholarship programs to employee stock purchase plans and 401(k)s, we offer associates a variety of benefits that work as hard for them as they work for us. About EpsilonEpsilon® is an all-encompassing global marketing innovator. We provide unrivaled data intelligence and customer insights, world-class technology including loyalty, email and CRM platforms and data-driven creative, activation and execution. Epsilon’s digital media arm, Conversant, is a leader in personalized digital advertising and insights through its proprietary technology and trove of consumer marketing data, delivering digital marketing with unprecedented scale, accuracy and reach through personalized media programs and through CJ Affiliate, one of the world’s largest affiliate marketing networks. Together, we bring personalized marketing to consumers across offline and online channels, at moments of interest, that help drive business growth for brands.  Recognized by Ad Age as the #1 World’s Largest CRM/Direct Marketing Network, #1 Largest U.S. Agency from All Disciplines and #1 Largest U.S. Mobile Marketing Agency, Epsilon employs over 8,000 associates in 70 offices worldwide. Epsilon is an Alliance Data company. For more information, visit www.epsilon.com and follow us on Twitter @EpsilonMktg.Alliance Data provides equal employment opportunities without regard to race, color, religion, gender, age, national origin, disability, sexual orientation, gender identity, veteran status or any other characteristic protected by law.Alliance Data participates in E-VerifyFor San Francisco Bay Area:Alliance Data will consider for employment qualified applicants with criminal histories in a manner consistent with the requirements of San Francisco Police Code Sections 4901 - 4919, commonly referred to as the San Francisco Fair Chance Ordinance#LI-BW1 Primary Location: USA - United States-3085 - Georgia-50070 - Atlanta-D3-Atlanta, GA - ConcourseWork Locations: D3-Atlanta, GA - Concourse   Atlanta 30328Job: TechnologyOrganization: EpsilonSchedule: RegularJob Type: Full-timeJob Posting: Oct 2, 2017, 7:17:20 PMDivision: Epsilon   ","USA - United States-3085 - Georgia-50070 - Atlanta-D3-Atlanta, GA - Concourse",GA,Atlanta,,2017-10-02T12:00:00+00:00
366,Data Analyst,AllianceData," Job Description - Data Analyst (0089625)Job Description Data Analyst - (0089625) Summary:The Analytic Consulting Group partners with both internal and external clients, and data providers, leveraging predictive analytics and advanced statistical techniques to drive strategic thought and effective decision making. The Data Analyst is responsible for conducting data analyses using SAS/SQL and other resources in support of a variety of analytic solutions. Responsibilities:•	Provide SAS/SQL programming, with detailed direction, in the execution of data analysis that will contribute to the final project deliverables•	Appropriately account for the timeliness and quality of all assignments•	Collaborate with internal stakeholders to manage data logistics - including data transfers, understanding data structures, business rules, etc. - to enable project execution•	QA/QC data and report output to ensure accuracy•	Support the development of reports by providing requisite content  •	Participate in presentation of reports to key internal stakeholders, effectively communicating the steps taken to create the output•	Manage multiple projects concurrently •	Monitor project progress relative to timeline and scopeMinimum Qualifications:•	Bachelor’s degree in a quantitative discipline (e.g., statistics, economics, mathematics, marketing analytics) or significant relevant coursework•	1-3 years’ professional experience with data mining, segmentation, and/or predictive modeling using large, marketing databases•	Demonstrated proficiency in SAS/SQL programming; minimum 2 years•	Working knowledge of MS Office; including PowerPoint, Word, Excel and Outlook•	Strong analytic thought process and ability to interpret findings•	Ability to work on multiple assignments concurrently•	Excellent verbal and written communication skills•	Highly motivated and collaborative team player with strong interpersonal skills•	Acute attention to detail (QA/QC)•	Effective organization and time management skills•	Professional judgmentDesirable Qualifications:  •	Advanced degree (Master’s/PhD) in Statistics, Economics or other quantitative discipline•	Database marketing experience/knowledge•	Ability to program in newer and emerging languages such as R and Python; working knowledge of Hadoop and other big data technologies  Conditions of EmploymentAll job offers are contingent upon successful completion of certain background checks which unless prohibited by applicable law may include criminal history checks, employment verification, education verification, drug screens, credit checks, DMV checks (for driving positions only) and fingerprinting.Great People, Deserve Great BenefitsWe know that we have some of the brightest and most talented associates in the world, and we believe in rewarding them accordingly.  If you work here, expect competitive pay, comprehensive health coverage, and endless opportunities to advance your career.  From tuition reimbursement to scholarship programs to employee stock purchase plans and 401(k)s, we offer associates a variety of benefits that work as hard for them as they work for us. About EpsilonEpsilon® is an all-encompassing global marketing innovator. We provide unrivaled data intelligence and customer insights, world-class technology including loyalty, email and CRM platforms and data-driven creative, activation and execution. Epsilon’s digital media arm, Conversant, is a leader in personalized digital advertising and insights through its proprietary technology and trove of consumer marketing data, delivering digital marketing with unprecedented scale, accuracy and reach through personalized media programs and through CJ Affiliate, one of the world’s largest affiliate marketing networks. Together, we bring personalized marketing to consumers across offline and online channels, at moments of interest, that help drive business growth for brands.  Recognized by Ad Age as the #1 World’s Largest CRM/Direct Marketing Network, #1 Largest U.S. Agency from All Disciplines and #1 Largest U.S. Mobile Marketing Agency, Epsilon employs over 8,000 associates in 70 offices worldwide. Epsilon is an Alliance Data company. For more information, visit www.epsilon.com and follow us on Twitter @EpsilonMktg.Alliance Data provides equal employment opportunities without regard to race, color, religion, gender, age, national origin, disability, sexual orientation, gender identity, veteran status or any other characteristic protected by law.Alliance Data participates in E-VerifyFor San Francisco Bay Area:Alliance Data will consider for employment qualified applicants with criminal histories in a manner consistent with the requirements of San Francisco Police Code Sections 4901 - 4919, commonly referred to as the San Francisco Fair Chance Ordinance#LI-BW1 Primary Location: USA - United States-3085 - Georgia-50070 - Atlanta-D3-Atlanta, GA - ConcourseWork Locations: D3-Atlanta, GA - Concourse   Atlanta 30328Job: Consulting & AnalyticsOrganization: EpsilonSchedule: RegularJob Type: Full-timeJob Posting: Oct 6, 2017, 11:43:40 AMDivision: Epsilon   ","USA - United States-3085 - Georgia-50070 - Atlanta-D3-Atlanta, GA - Concourse",GA,Atlanta,,2017-10-06T12:00:00+00:00
390,Data Developer 2 / ETL,AllianceData," Job Description - Data Developer 2 / ETL (0089524)Job Description Data Developer 2 / ETL - (0089524) The Developer II (Data Analysis) works with the Lead Developer to design and develop technical solutions on a proprietary, multi-node computing environment focused on 'big data' processing (billions of records).   
 
This requires full SDLC familiarity, including requirements review, analysis, design, programming, testing and implementation as assigned.
 
Responsibilities

Verify input data quality, including identification and communication of file variances and potential issues
Read data file dumps and QC conversion output.
Set up, process and QC data hygiene and merge/purge processes
Set up and process statistical reports and provide these reports to account teams.
Maintain and adhere to project schedules.
Qualifications


Bachelor’s degree in Computer Science or related field or equivalent years of experience required
1-3 years of development experience required 
Proven analysis, design, programming and implementation experience is required 
Experience manipulating and joining multiple, large data files (Millions of records, 100’s of GB) required.
Knowledge of data formats – character fields, packed fields, binary, hexadecimal fields required.
Experience with flat files, Ascii/Ebcdic, binary data, bitmapping, and ETL processing fundamental.  
Knowledge and understanding of HADOOP, cloud computing, massively parallel-processing systems strongly preferred.
Knowledge of UNIX environment/directory structures /Linux/DO environment is helpful
Experience with data compression algorithms and techniques preferred.
Development experience with C, C++, Perl, Shell Scripting preferred
Experience with database programs and basic SQL Knowledge and preferred
Familiarity with Agile Development concepts, JIRA, and GIT
Ability to solve problems without using traditional tools, software, or relational databases.
Knowledge of data hygiene, address standardization, etc is a plus.
Strong written and oral communications skills
Ability to read, create, and change existing code
Ability to coordinate and follow up with multiple tasks
Attention to detail necessary
Ability to recommend and implement automation solutions for production process. 

#LI-JM1#zip
#Dice  Conditions of Employment 
All job offers are contingent upon successful completion of certain background checks which unless prohibited by applicable law may include criminal history checks, employment verification, education verification, drug screens, credit checks, DMV checks (for driving positions only) and fingerprinting.
 Great People, Deserve Great Benefits 
We know that we have some of the brightest and most talented associates in the world, and we believe in rewarding them accordingly.  If you work here, expect competitive pay, comprehensive health coverage, and endless opportunities to advance your career.  From tuition reimbursement to scholarship programs to employee stock purchase plans and 401(k)s, we offer associates a variety of benefits that work as hard for them as they work for us. 
 About Epsilon 
Epsilon is a global leader in creating connections between people and brands. An all-encompassing global marketing company, we harness the power of rich data, groundbreaking technologies, engaging creative and transformative ideas to get the results our clients require. Recognized by Ad Age as the #1 Largest World CRM/Direct Marketing Network,  #1 Largest U.S. Agency from All Disciplines and #1 Largest U.S. Mobile Marketing Agency, Epsilon employs over 7,000 associates in 70 offices worldwide. Epsilon is an Alliance Data company.  For more information, visit http://www.epsilon.com/, follow us on Twitter @EpsilonMktg or call 1.800.309.0505.
 
Alliance Data provides equal employment opportunities without regard to race, color, religion, gender, age, national origin, disability, sexual orientation, gender identity, veteran status or any other characteristic protected by law.
Alliance Data participates in E-Verify
 
For San Francisco Bay Area:
Alliance Data will consider for employment qualified applicants with criminal histories in a manner consistent with the requirements of San Francisco Police Code Sections 4901 - 4919, commonly referred to as the San Francisco Fair Chance Ordinance. Primary Location: USA - United States-3098 - Michigan-79110 - Madison Heights-C2-Southfield, MIOther Locations: USA - United States-3080 - Colorado-41346 - Broomfield-A9-Lafayette (DEN), COWork Locations: C2-Southfield, MI   Southfield 48033Job: TechnologyOrganization: EpsilonSchedule: RegularJob Type: Full-timeJob Posting: Oct 10, 2017, 7:57:07 PMDivision: Epsilon   ",Multiple Locations,Multiple,Multiple,,2017-10-10T12:00:00+00:00
426,Business Intelligence Engineer,Amazon.com,"· Hands-on experience with Data Integration/ETL, Oracle 11g/AWS Redshift.· Knowledge of tuning and scaling in a self-service BI environment· Strong customer focus, ownership, urgency and drive.BENEFITSWe have a comprehensive benefits package. Here are some of the fun and meaningful perks we offer:· Daily catered lunch, Monday breakfast and juice bar, snacks and Friday happy hours· Free onsite gym and 25% fitness reimbursement· Seasonal sports clubs - basketball, hockey, soccer, volleyball, softball and more· Company sponsored events· Transit reimbursement, paid parking and shuttle service· Tuition assistance· Annual Amazon discount· Meaningful community involvement opportunities including mentoring interns, literacy tutoring and Audible Scholars, along with collaboration on start-up projects incubating in Newark Venture PartnersAudible, Inc. is the world’s largest seller and producer of spoken audio entertainment, information and educational programming. Since inventing and commercializing the first portable digital audio player in 1997, our focus on technological innovation and superior programming has earned us millions of subscribers around the world. We’re an Amazon subsidiary with a presence on four different continents, yet we maintain a startup vibe and small company feel. We offer more than 350,000 downloadable audiobooks, audio editions of periodicals, and other programs, and an escalating array of listening products that enrich daily life for a growing population of people who want to be more productive, well-informed, and thoughtfully entertainedAudible is an Equal Opportunity Employer-Minority/ Female/ Disability/ Vet New York Area, NYNewark, New JerseyNew Jersey, United States )Audible",,,,,
444,MS SQL Consultant,Amazon.com,"· Knowledge of the primary AWS services· Familiarity with implementing Microsoft Enterprise software and required deployment skills for the cloud (AD & Infrastructure)· Visible IT Industry thought leadership on relevant topics related to enterprise IT infrastructure and contact center integration· Experience with design of modern, scalable delivery models for technology consulting services· Business development experience including complex agreements w/ integrators and ISV, International sales and delivery experience with global F500 enterprise customers and partners· Use of AWS services in distributed environments with Microsoft, IBM, Oracle, HP, SAP etc.Amazon is an Equal Opportunity-Affirmative Action Employer – Minority / Female / Disability / Veteran / Gender Identity / Sexual Orientation.aws.team-pro-serv Herndon Area, VAWashington, DC | Greater Metro Area )Professional Services",,,,,
448,MS SQL Consultant,Amazon.com,"· Knowledge of the primary AWS services· Familiarity with implementing Microsoft Enterprise software and required deployment skills for the cloud (AD & Infrastructure)· Visible IT Industry thought leadership on relevant topics related to enterprise IT infrastructure and contact center integration· Experience with design of modern, scalable delivery models for technology consulting services· Business development experience including complex agreements w/ integrators and ISV, International sales and delivery experience with global F500 enterprise customers and partners· Use of AWS services in distributed environments with Microsoft, IBM, Oracle, HP, SAP etc.Amazon is an Equal Opportunity-Affirmative Action Employer – Minority / Female / Disability / Veteran / Gender Identity / Sexual Orientation.aws.team-pro-serv Atlanta, Georgia )Professional Services",,,,,
449,Data Scientist,Amazon.com,"· Track record of diving into data to discover hidden patterns and of conducting error/deviation analysis· Ability to develop experimental and analytic plans for data modeling processes, use of strong baselines, ability to accurately determine cause and effect relations· Understanding of relevant statistical measures such as confidence intervals, significance of error measurements, development and evaluation data sets, etc.· The motivation to achieve results in a fast-paced environment.· Experience with statistical modelling / machine learning· Strong attention to detail· Exceptional level of organization· Comfortable working in a fast paced, highly collaborative, dynamic work environment· Ability to think creatively and solve problems· Fluency in a foreign languageAmazon.com is an Equal Opportunity-Affirmative Action Employer – Minority / Female / Disability / Veteran / Gender Identity / Sexual Orientation Boston/Cambridge Area, MA )Alexa Machine Learning",,,,,
452,"Senior Machine Learning Scientist, Amazon Echo",Amazon.com,"· · Experience in building speech recognition and natural language processing systems (e.g., commercial speech products or government speech projects) · Solid Machine Learning background and familiar with standard speech and machine learning techniques. · Scientific thinking and the ability to invent, a track record of thought leadership and contributions that have advanced the field · Solid software development experience · Good written and spoken communication skills. Amazon.com is an Equal Opportunity-Affirmative Action Employer – Minority / Female / Disability / Veteran / Gender Identity / Sexual Orientation Pittsburgh, Pennsylvania )Alexa Machine Learning",,,,,
473,MS SQL Consultant,Amazon.com,"· Knowledge of the primary AWS services· Familiarity with implementing Microsoft Enterprise software and required deployment skills for the cloud (AD & Infrastructure)· Visible IT Industry thought leadership on relevant topics related to enterprise IT infrastructure and contact center integration· Experience with design of modern, scalable delivery models for technology consulting services· Business development experience including complex agreements w/ integrators and ISV, International sales and delivery experience with global F500 enterprise customers and partners· Use of AWS services in distributed environments with Microsoft, IBM, Oracle, HP, SAP etc.Amazon is an Equal Opportunity-Affirmative Action Employer – Minority / Female / Disability / Veteran / Gender Identity / Sexual Orientation.aws.team-pro-serv Herndon Area, VAWashington, DC | Greater Metro Area )Professional Services",,,,,
487,Data Scientist - AWS Professional Services,Amazon.com,"· PhD in a highly quantitative field (Computer Science, Machine Learning, Operational Research, Statistics, Mathematics, etc.)· 8+ years of industry experience in predictive modeling and analysis· Good skills with programming languages, such as Java or C/C++· Ability to develop experimental and analytic plans for data modeling processes, use of strong baselines, ability to accurately determine cause and effect relations· Consulting experience and track record of helping customers with their AI needs· Publications or presentation in recognized Machine Learning, Deep Learning and Data Mining journals/conferences· Experience with AWS technologies like Redshift, S3, EC2, Data Pipeline, & EMR· Combination of deep technical skills and business savvy enough to interface with all levels and disciplines within our customer’s organization· Demonstrable track record of dealing well with ambiguity, prioritizing needs, and delivering results in a dynamic environment Southern California Region, CaliforniaIrvine, CA )Professional Services",,,,,
501,Business Intelligence Engineer,Amazon.com,"· Master’s degree in quantitative field· Previous experience in Machine Learning and/or data scienceAmazon is an Equal Opportunity-Affirmative Action Employer – Minority / Female / Disability / Veteran / Gender Identity / Sexual Orientation. Atlanta, Georgia team-linehaul-tech )",,,,,
